time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-16T03:40:20.080Z,39.7864,20.6,10,5.1,mb,,34,0.624,0.97,us,us20007eh0,2016-10-18T18:18:26.000Z,"13km NW of Rodotopion, Greece",earthquake,5.7,1.9,0.038,224,reviewed,us,us
2016-10-16T02:21:02.700Z,39.7478,20.6335,10,5,mb,,42,0.646,1.1,us,us20007egg,2016-10-18T18:25:22.000Z,"9km WNW of Rodotopion, Greece",earthquake,5,1.9,0.042,185,reviewed,us,us
2016-10-16T01:32:05.220Z,39.8073,20.6096,10,4.8,mb,,59,0.634,1.29,us,us20007eg6,2016-10-16T02:48:05.037Z,"14km NW of Rodotopion, Greece",earthquake,4.4,1.8,0.069,65,reviewed,us,us
2016-10-16T01:27:00.000Z,59.2165,-155.1596,200,2.7,ml,,,,,ak,ak14213360,2016-10-16T02:40:49.061Z,"61km SSW of Old Iliamna, Alaska",earthquake,,,,,automatic,ak,ak
2016-10-16T01:23:22.080Z,-2.7678,126.7073,43.76,4.8,mb,,81,3.577,1.24,us,us20007efx,2016-10-16T01:42:09.040Z,"46km NE of Airbuaya, Indonesia",earthquake,8,7.4,0.085,44,reviewed,us,us
2016-10-16T00:48:16.160Z,39.7251,20.7046,10,4.9,mb,,62,0.7,1.3,us,us20007efn,2016-10-16T01:38:17.192Z,"2km NW of Rodotopion, Greece",earthquake,5.8,1.9,0.051,120,reviewed,us,us
2016-10-16T00:41:16.190Z,39.7987,20.5735,23.73,5,mb,,57,0.605,1.27,us,us20007efm,2016-10-18T20:10:15.000Z,"16km NW of Rodotopion, Greece",earthquake,5.6,5.2,0.046,153,reviewed,us,us
2016-10-16T00:09:59.960Z,39.7672,20.6635,21.56,4.9,mb,,59,0.67,0.94,us,us20007efi,2016-10-16T14:29:34.933Z,"8km NW of Rodotopion, Greece",earthquake,5.3,5,0.049,133,reviewed,us,us
2016-10-15T23:06:59.270Z,39.7796,20.6858,10,4.4,mb,,58,0.689,1.35,us,us20007efd,2016-10-16T01:03:08.053Z,"8km NNW of Rodotopion, Greece",earthquake,5.5,1.9,0.095,33,reviewed,us,us
2016-10-15T21:46:52.830Z,39.7018,20.6974,8.39,4.3,mb,,59,0.695,0.86,us,us20007eez,2016-10-16T01:26:32.040Z,"2km WSW of Rodotopion, Greece",earthquake,5.2,7.2,0.218,6,reviewed,us,us
2016-10-15T21:42:22.840Z,39.7125,20.672,10,4.3,mb,,59,0.675,1.41,us,us20007eey,2016-10-16T03:30:51.040Z,"4km W of Rodotopion, Greece",earthquake,2.8,2,0.237,5,reviewed,us,us
2016-10-15T21:10:26.240Z,39.7281,20.7458,11.54,4.3,mb,,68,0.732,1.33,us,us20007ees,2016-10-16T04:20:06.040Z,"2km NE of Rodotopion, Greece",earthquake,5,7.4,0.266,4,reviewed,us,us
2016-10-15T20:57:33.300Z,18.0841,-66.1125,22,2.6,Md,7,122.4,0.05749218,0.28,pr,pr16289012,2016-10-16T03:51:27.040Z,"4km S of G. L. Garcia, Puerto Rico",earthquake,1.3,2.5,0,5,reviewed,pr,pr
